,conf,text,x,y,imageName
0,75.3819904137931,"ie /, FIESTA VACATIONS PVT LTD Wf #18 Old No.109 Hari Brindhavan 30th Cross, 4th Block Jayanagar, i NG) 041, Phone No:+91- 080 4900 i} Figgte Dacalions Website: WWW.FIESTAVACATIONS.CO.IN ",0.4035643564356436,0.15571428571428572,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
2,91.21656566666667,No. FVPL/2022-23/215 No. ,1.2384158415841584,0.1737142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
4,95.8611985,4800 Buyer's ,0.9358415841584159,0.26285714285714284,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
5,79.4974342,Buyer (Bill to) i MRS.DHANALAKSHMI ,0.19881188118811882,0.36457142857142855,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
6,70.3645915,to) MRS.DHANALAKSHMI ,0.3302970297029703,0.39371428571428574,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
11,94.151062,"Karnataka, Code ",0.6198019801980198,0.5411428571428571,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
17,94.58282733333333,TRAVEL JORDON + NO OF PAX: ,0.23405940594059407,0.7617142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
25,89.47367115789474,      ‘Amount Chargeable (in words) ‘Indian Rupees Seven Lakh Sixteen HSN/SAC 00440063 Tax Amount (in words) Indian Rupees Thirty ,0.4083168316831683,1.4482857142857142,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
26,75.80504866666666,"Central Tax Amount Rate 16,235.83] 2.50%| ",1.3184158415841585,1.441142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg
0,94.98809800000001,DK 687 ,0.3996078431372549,0.16515151515151516,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg
1,94.96302033333335,SOFTWARES SAHEED NAGAR ,0.9188235294117647,0.11090909090909092,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg
2,95.5245435,SERVICES BHUBANESWAR Invoice No. ,1.2262745098039216,0.18424242424242424,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg
4,89.660385,GSTIN: ,0.9266666666666666,0.2787878787878788,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg
5,89.50502830769231,TALLY SOLUTIONS PVT 23 &amp; 24 AMR TECH HONGASANDRA MAIN GSTN-29AAACP7879D1Z0 State: 29-Karnataka ,0.19686274509803922,0.38666666666666666,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg
