,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,21-Mar-2023,-0.5292295029221068,-0.4939269916814906,0.013782395876141496,1
1,1,6922,-0.2704357061047366,2.283245185747064,0.2450114009412287,0
2,2,507.00,-0.1329643560947478,-0.4939269916814906,0.38248275095121753,0
3,3,| __o.00|,0.4350155312973924,-0.4939269916814906,0.9504626383433576,0
4,4,__507.00,0.5489513468993069,-0.4939269916814906,1.0643984539452722,0
5,5,106.00 Airport,-0.114130335878628,-0.4939269916814906,0.4013167711673373,0
6,6,year,0.169189775636846,-0.4939269916814906,0.6846368826828113,0
7,7,2017-18,0.2684773540916909,-0.4939269916814906,0.7839244611376561,0
8,8,of rule,-0.2283246845200436,-0.4939269916814906,0.2871224225259217,0
9,9,"48,",-0.185237976464565,-0.4939269916814906,0.33020913058140033,0
10,10,8536,-0.1604277223991877,-0.4939269916814906,0.3550193846467776,0
