,Unnamed: 0.1,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,0,"Floor,Global",-0.4605018485811923,-0.4939269916814906,0.7202982693146305,0
1,1,1,PO,-0.0073543618820899,-0.4939269916814906,0.26715078261552805,0
2,2,2,26-Jan-2023,0.2572542951132451,-0.4939269916814906,0.0025421256201930698,1
3,3,3,2022,0.3405909237024904,2.28326073398404,0.08079450296905222,0
4,4,4,1st,-0.2286873107348714,-0.4939269916814906,0.4884837314683096,0
5,5,5,Dec,-0.2021758114229042,-0.4939269916814906,0.46197223215634237,0
6,6,6,2022,-0.1703672511847144,-0.4939269916814906,0.4301636719181526,0
7,7,7,31st Dec 2022,-0.0872262854728864,-0.4939269916814906,0.3470227062063246,0
8,8,8,"18. 654,353.08",0.6770591661401836,2.2822097621760213,0.4172627454067454,0
9,9,9,"1 1,322.56",0.5248448676477511,-0.4939269916814906,0.2650484469143129,0
10,10,10,"18. 1,322.56",0.6948553239521196,-0.4939269916814906,0.4350589032186814,0
11,11,11,S.O. 1323E,-0.0797848415134558,-0.4939269916814906,0.339581262246894,0
12,12,12,:,0.0616249008826742,-0.4939269916814906,0.19817151985076398,0
13,13,13,4th,-0.3083297284780186,-0.4939269916814906,0.5681261492114568,0
14,14,14,+91,-0.0331968964846792,-0.4939269916814906,0.2929933172181174,0
15,15,15,2023.01.27,0.6608791185819896,-0.4939269916814906,0.4010826978485514,0
16,16,16,12:54: Reason:,0.6647935488294953,-0.4939269916814906,0.4049971280960571,0
