,left,top,width,height,conf,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,isPast,isFuture,date,dated,invoice,delivery,order,due,payment,tax,bill,receipt,issue,imageName,output
0,300,1105,155,23,96.191299,02.04.2023,455,1128,2339,1654,0,0,0,0,0,0,0.541396296129751,0,0.494869189709518,0,0.151753325272068,0,0,0.52883664626946,0,0,0,20.jpeg,0
1,1379,1146,155,23,95.732468,02.04.2023,1534,1169,2339,1654,0,0,0,0,0,0,0.111245465538089,0,0.157799274486094,0,0.804302278974752,0,0,0.131721037250012,0,0,0,20.jpeg,1
2,873,1833,106,18,69.672714,"02/04/2023,",979,1851,2339,1654,0,0,0,0,0,0,0.120358013069441,0,0.184538106277025,0,0,0,0.162402718082717,0.421050908945286,0,0,0,20.jpeg,0
3,873,1904,106,18,96.788101,"02/04/2023,",979,1922,2339,1654,0,0,0,0,0,0,0.116689952697426,0,0.159205127015848,0,0,0,0.132622533564919,0,0,0,0,20.jpeg,0
4,1168,1145,332,24,94.731491,Invoice Date : 02.04.2023 ,1500,1169,2339,1654,0,0,0,0,0,0,0.0906892382103991,0,0.137243047158404,0,0.783751062091047,0,0,0.112151711740567,0,0,0,20.jpeg,1
5,588,897,88,29,71.175232,"9/10/2022,",676,926,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.148761883854839,0,0,0,0,23.jpeg,0
6,745,898,92,28,64.239807,"16-10-2022,",837,926,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.139577207578772,0,0,0,0,23.jpeg,0
7,588,1037,84,19,94.234421,9/10/2022,672,1056,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.102511588514504,0,0,0,0,23.jpeg,0
8,745,1031,88,32,84.635925,16-10-2022,833,1063,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.0832015676508081,0,0,0,0,23.jpeg,0
9,588,897,88,29,71.175232,"9/10/2022, ",676,926,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.148761883854839,0,0,0,0,23.jpeg,0
10,745,898,92,28,64.239807,"16-10-2022, ",837,926,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.139577207578772,0,0,0,0,23.jpeg,0
11,588,1037,84,19,94.234421,9/10/2022 ,672,1056,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.102511588514504,0,0,0,0,23.jpeg,0
12,745,1031,88,32,84.635925,16-10-2022 ,833,1063,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0.0832015676508081,0,0,0,0,23.jpeg,0
13,370,503,146,23,89.503555,05Dec2022,516,526,2200,1700,0,0,0,0,0,0,0.187058823529412,0,0.228390112579911,0,0,0,0,0,0,0,0,28.jpeg,1
14,370,503,146,23,89.503555,05Dec2022 ,516,526,2200,1700,0,0,0,0,0,0,0.187058823529412,0,0.228390112579911,0,0,0,0,0,0,0,0,28.jpeg,1
15,84,320,113,19,70.813957,04/14/2022,197,339,2200,1700,0,0,0,0,0,0,0,0,0.103400962904195,0,0,0,0,0.0502560360963416,0.0941220374522899,0,0,18.jpeg,1
16,9,319,169,19,84.121198,Bill Dt. 04/14/2022 ,178,338,2200,1700,0,0,0,0,0,0,0,0,0.113434800791966,0,0,0,0,0.0561231411441786,0.0829424219919789,0,0,18.jpeg,1
17,1216,328,127,22,73.269348,15/04/2022,1343,350,2200,1700,0,0,0,0,0,0,0.0505281451688294,0,0.0716680693349612,0,0,0,0.410680498428278,0,0,0.252859712888192,0,39.jpeg,1
18,153,894,124,20,88.94471,15/04/2022,277,914,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.jpeg,0
19,300,894,124,26,96.541641,17/04/2022,424,920,2200,1700,0,0,0,0,0,0,0,0,0.169888488641879,0,0,0,0,0,0,0,0,39.jpeg,0
20,1216,328,127,22,73.269348,15/04/2022 ,1343,350,2200,1700,0,0,0,0,0,0,0.0505281451688294,0,0.0716680693349612,0,0,0,0.410680498428278,0,0,0.252859712888192,0,39.jpeg,1
21,1088,165,114,21,75.616234,9-Dec-22,1202,186,2200,1700,0,0,0,0,0,0,0.063009909131844,0,0.114636507821984,0,0.18086548925188,0,0.0954527666515905,0,0,0,0,27.jpeg,1
22,1088,165,114,21,75.616234,9-Dec-22 ,1202,186,2200,1700,0,0,0,0,0,0,0.063009909131844,0,0.114636507821984,0,0.18086548925188,0,0.0954527666515905,0,0,0,0,27.jpeg,1
23,1336,357,121,19,94.085846,05/12/2022,1457,376,2200,1700,0,0,0,0,0,0,0,0.0466703092066664,0.247174159075415,0.2411182995998,0,0,0,0,0.757865188708613,0,0,4.jpeg,1
24,1213,896,123,26,87.991821,05/12/2022,1336,922,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0.133529411764706,0.16413338284877,0,0,0,0,4.jpeg,0
25,1336,357,121,19,94.085846,05/12/2022 ,1457,376,2200,1700,0,0,0,0,0,0,0,0.0466703092066664,0.247174159075415,0.2411182995998,0,0,0,0,0.757865188708613,0,0,4.jpeg,1
26,1213,896,123,26,87.991821,05/12/2022 ,1336,922,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0.133529411764706,0.16413338284877,0,0,0,0,4.jpeg,0
27,1221,533,159,20,65.645515,date:|12-Jan-22,1380,553,2339,1654,0,0,0,0,0,0,0,0,0.100362756952842,0,0.0947683029251537,0,0,0,0.116017442116524,0,0,17.jpeg,1
28,1202,599,178,20,61.784561,Dated:|12-Jan-22,1380,619,2339,1654,0,0,0,0,0,0,0,0,0.104253981295133,0,0.0947683029251537,0,0,0,0.100650101622661,0,0,17.jpeg,0
29,1137,534,236,20,79.475273,Invoice date:|12-Jan-22 ,1373,554,2339,1654,0,0,0,0,0,0,0,0,0.0961315432080582,0,0.0905198898933894,0,0,0,0.112486099139547,0,0,17.jpeg,1
30,1202,599,178,20,61.784561,Dated:|12-Jan-22 ,1380,619,2339,1654,0,0,0,0,0,0,0,0,0.104253981295133,0,0.0947683029251537,0,0,0,0.100650101622661,0,0,17.jpeg,0
31,426,763,121,19,90.490372,05/12/2022,547,782,2334,1684,0,0,0,0,0,0,0,0,0,0.270936372672721,0,0,0,0,0,0,0,5.jpeg,0
32,181,764,330,25,94.2072921666667,"NO OF PAX: 02, DOT: 05/12/2022 ",511,789,2334,1684,0,0,0,0,0,0,0,0,0,0.290551001150363,0,0,0,0,0,0,0,5.jpeg,0
33,1399,360,106,16,86.915596,21-08-2022,1505,376,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.jpeg,1
34,233,524,480,40,81.0346283,"6/5, 1st Floor, 3rd Main 5th’A Cross, Brindavan Layout, LN. ",713,564,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194686486343399,0,0,9.jpeg,0
35,831,532,316,27,82.7112895714286,"Address: 6/5, 1st Floor, 3rd Main Sth ",1147,559,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.jpeg,0
36,277,1153,89,19,96.095146,10/17/22,366,1172,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.jpeg,0
37,1323,130,137,22,93.4841283333333,"October 9, 2022. ",1460,152,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.jpeg,1
38,277,1153,180,19,96.3009873333333,10/17/22 10:42 AM ,457,1172,2339,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.jpeg,0
39,280,480,107,32,54.923683,‘7-Mar-23,387,512,2339,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.jpeg,1
40,726,952,153,25,17.499382,dt.'7-Mar-23,879,977,2339,1656,0,0,0,0,0,0,0,0,0,0.0293506309078349,0,0,0,0,0.0590765797891738,0,0,24.jpeg,0
41,151,487,209,32,79.49061775,Ack Date’ : ‘7-Mar-23 ,360,519,2339,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.jpeg,1
42,726,952,153,25,17.499382,dt.'7-Mar-23 ,879,977,2339,1656,0,0,0,0,0,0,0,0,0,0.0293506309078349,0,0,0,0,0.0590765797891738,0,0,24.jpeg,0
43,1316,86,129,18,91.724434,16-Dec-22,1445,104,2200,1700,0,0,0,0,0,0,0,0.0764936252275245,0.211154559078172,0.171141344687927,0.179590252473496,0,0.0834742914533473,0,0,0,0,25.jpeg,1
44,1133,1963,81,36,89.192253,2022.12.16,1214,1999,2200,1700,0,0,0,0,0,0,0,0,0.451803349740062,0,0,0,0,0.615758663779722,0,0,0,25.jpeg,0
45,1316,86,129,18,91.724434,16-Dec-22 ,1445,104,2200,1700,0,0,0,0,0,0,0,0.0764936252275245,0.211154559078172,0.171141344687927,0.179590252473496,0,0.0834742914533473,0,0,0,0,25.jpeg,1
46,330,1541,112,22,50.167881,"12-6-56,",442,1563,1654,2339,0,0,0,0,0,0,0,0,0.162960594314003,0,0,0,0,0,0,0,0,34.jpeg,0
47,330,1541,112,22,50.167881,"12-6-56, ",442,1563,1654,2339,0,0,0,0,0,0,0,0,0.162960594314003,0,0,0,0,0,0,0,0,34.jpeg,0
48,74,44,66,21,85.528679,"3/4/23,",140,65,3312,2342,0,0,0,0,0,0,0,0,0.100870388913715,0,0,0,0,0.0554565313339055,0,0,0,7.jpeg,0
49,1788,856,162,23,76.995331,2023-01-30,1950,879,3312,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.jpeg,1
50,1432,1030,160,34,96.723282,29/01/2023,1592,1064,3312,2342,0,0,0,0,0,0,0.0802823554758887,0,0,0,0,0,0,0,0,0,0,7.jpeg,0
51,233,1766,137,26,90.921455,2022-12-29,370,1792,3312,2342,0,0,0,0,0,0,0.0410898969227378,0,0,0,0,0,0,0.550898056358818,0,0,0,7.jpeg,0
52,233,1848,138,20,96.509483,2022-12-30,371,1868,3312,2342,0,0,0,0,0,0,0.058716647853726,0,0,0,0,0,0,0.544287329518377,0,0,0,7.jpeg,0
53,233,1925,134,34,88.367561,"2022-12-31,",367,1959,3312,2342,0,0,0,0,0,0,0.0824653870234039,0,0,0,0,0,0,0.539728561399527,0,0,0,7.jpeg,0
54,233,2008,130,22,95.511269,2022-12-31,363,2030,3312,2342,0,0,0,0,0,0,0.102213146923149,0,0,0,0,0,0,0.537495905592234,0,0,0,7.jpeg,0
55,233,2092,132,20,93.872345,2023-01-01,365,2112,3312,2342,0,0,0,0,0,0,0.126368883414436,0,0,0,0,0,0,0.533173602445271,0,0,0,7.jpeg,0
56,233,2169,132,34,95.255882,2023-01-01,365,2203,3312,2342,0,0,0,0,0,0,0.153221526785492,0,0,0,0,0,0,0.530639180663357,0,0,0,7.jpeg,0
57,74,44,141,21,92.6481706666667,"3/4/23, 9:47 AM ",215,65,3312,2342,0,0,0,0,0,0,0,0,0.0696832009071064,0,0,0,0,0.0276507492473403,0,0,0,7.jpeg,0
58,1788,856,274,23,86.5725635,2023-01-30 10:06:00 ,2062,879,3312,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.jpeg,1
59,1184,1037,378,42,81.710043,Document Date : 29/01/2023 ,1562,1079,3312,2342,0,0,0,0,0,0,0.0675454099143687,0,0,0,0,0,0,0,0,0,0,7.jpeg,0
60,233,1766,137,26,90.921455,2022-12-29,370,1792,3312,2342,0,0,0,0,0,0,0.0410898969227378,0,0,0,0,0,0,0.550898056358818,0,0,0,7.jpeg,0
61,233,1848,138,20,96.509483,2022-12-30,371,1868,3312,2342,0,0,0,0,0,0,0.058716647853726,0,0,0,0,0,0,0.544287329518377,0,0,0,7.jpeg,0
62,233,1925,134,34,88.367561,"2022-12-31, ",367,1959,3312,2342,0,0,0,0,0,0,0.0824653870234039,0,0,0,0,0,0,0.539728561399527,0,0,0,7.jpeg,0
63,233,2008,130,22,95.511269,2022-12-31,363,2030,3312,2342,0,0,0,0,0,0,0.102213146923149,0,0,0,0,0,0,0.537495905592234,0,0,0,7.jpeg,0
